Area_name,Area_type,Average_2018_2019,Category,Count,Type,Variation (%),Week_ending
NHS Borders,Health board,54.5,Quintile 1 - most deprived,48,Deprivation,-11.9,01 Nov 20
NHS Borders,Health board,105,Quintile 2,76,Deprivation,-27.6,01 Nov 20
NHS Borders,Health board,189,Quintile 3,178,Deprivation,-5.8,01 Nov 20
NHS Borders,Health board,195.5,Quintile 4,147,Deprivation,-24.8,01 Nov 20
NHS Borders,Health board,38.5,Quintile 5 - least deprived,44,Deprivation,14.3,01 Nov 20
NHS Dumfries & Galloway,Health board,123,Quintile 1 - most deprived,80,Deprivation,-35,01 Nov 20
NHS Dumfries & Galloway,Health board,291.5,Quintile 2,233,Deprivation,-20.1,01 Nov 20
NHS Dumfries & Galloway,Health board,256,Quintile 3,200,Deprivation,-21.9,01 Nov 20
NHS Dumfries & Galloway,Health board,112.5,Quintile 4,95,Deprivation,-15.6,01 Nov 20
NHS Dumfries & Galloway,Health board,63.5,Quintile 5 - least deprived,46,Deprivation,-27.6,01 Nov 20
NHS Fife,Health board,388.5,Quintile 1 - most deprived,316,Deprivation,-18.7,01 Nov 20
NHS Fife,Health board,326,Quintile 2,221,Deprivation,-32.2,01 Nov 20
NHS Fife,Health board,241,Quintile 3,218,Deprivation,-9.5,01 Nov 20
NHS Fife,Health board,138,Quintile 4,112,Deprivation,-18.8,01 Nov 20
NHS Fife,Health board,153,Quintile 5 - least deprived,130,Deprivation,-15,01 Nov 20
NHS Forth Valley,Health board,273.5,Quintile 1 - most deprived,195,Deprivation,-28.7,01 Nov 20
NHS Forth Valley,Health board,339.5,Quintile 2,237,Deprivation,-30.2,01 Nov 20
NHS Forth Valley,Health board,214.5,Quintile 3,136,Deprivation,-36.6,01 Nov 20
NHS Forth Valley,Health board,198.5,Quintile 4,108,Deprivation,-45.6,01 Nov 20
NHS Forth Valley,Health board,181.5,Quintile 5 - least deprived,116,Deprivation,-36.1,01 Nov 20
NHS Grampian,Health board,126.5,Quintile 1 - most deprived,109,Deprivation,-13.8,01 Nov 20
NHS Grampian,Health board,363.5,Quintile 2,317,Deprivation,-12.8,01 Nov 20
NHS Grampian,Health board,349,Quintile 3,324,Deprivation,-7.2,01 Nov 20
NHS Grampian,Health board,527.5,Quintile 4,399,Deprivation,-24.4,01 Nov 20
NHS Grampian,Health board,510.5,Quintile 5 - least deprived,384,Deprivation,-24.8,01 Nov 20
NHS Greater Glasgow & Clyde,Health board,3089,Quintile 1 - most deprived,2199,Deprivation,-28.8,01 Nov 20
NHS Greater Glasgow & Clyde,Health board,1261,Quintile 2,876,Deprivation,-30.5,01 Nov 20
NHS Greater Glasgow & Clyde,Health board,914,Quintile 3,596,Deprivation,-34.8,01 Nov 20
NHS Greater Glasgow & Clyde,Health board,810,Quintile 4,516,Deprivation,-36.3,01 Nov 20
NHS Greater Glasgow & Clyde,Health board,818.5,Quintile 5 - least deprived,590,Deprivation,-27.9,01 Nov 20
NHS Highland,Health board,113.5,Quintile 1 - most deprived,109,Deprivation,-4,01 Nov 20
NHS Highland,Health board,230.5,Quintile 2,206,Deprivation,-10.6,01 Nov 20
NHS Highland,Health board,326,Quintile 3,268,Deprivation,-17.8,01 Nov 20
NHS Highland,Health board,308,Quintile 4,267,Deprivation,-13.3,01 Nov 20
NHS Highland,Health board,98,Quintile 5 - least deprived,81,Deprivation,-17.3,01 Nov 20
NHS Lanarkshire,Health board,1261,Quintile 1 - most deprived,1046,Deprivation,-17,01 Nov 20
NHS Lanarkshire,Health board,1118.5,Quintile 2,878,Deprivation,-21.5,01 Nov 20
NHS Lanarkshire,Health board,696,Quintile 3,545,Deprivation,-21.7,01 Nov 20
NHS Lanarkshire,Health board,496,Quintile 4,378,Deprivation,-23.8,01 Nov 20
NHS Lanarkshire,Health board,306.5,Quintile 5 - least deprived,245,Deprivation,-20.1,01 Nov 20
NHS Lothian,Health board,808,Quintile 1 - most deprived,628,Deprivation,-22.3,01 Nov 20
NHS Lothian,Health board,1094,Quintile 2,899,Deprivation,-17.8,01 Nov 20
NHS Lothian,Health board,750.5,Quintile 3,601,Deprivation,-19.9,01 Nov 20
NHS Lothian,Health board,714,Quintile 4,504,Deprivation,-29.4,01 Nov 20
NHS Lothian,Health board,902,Quintile 5 - least deprived,680,Deprivation,-24.6,01 Nov 20
NHS Orkney,Health board,19.5,Quintile 2,22,Deprivation,12.8,01 Nov 20
NHS Orkney,Health board,33.5,Quintile 3,20,Deprivation,-40.3,01 Nov 20
NHS Orkney,Health board,56.5,Quintile 4,54,Deprivation,-4.4,01 Nov 20
NHS Orkney,Health board,11.5,Quintile 5 - least deprived,13,Deprivation,13,01 Nov 20
NHS Shetland,Health board,6.5,Quintile 2,9,Deprivation,38.5,01 Nov 20
NHS Shetland,Health board,38,Quintile 3,37,Deprivation,-2.6,01 Nov 20
NHS Shetland,Health board,82,Quintile 4,55,Deprivation,-32.9,01 Nov 20
NHS Tayside,Health board,322,Quintile 1 - most deprived,244,Deprivation,-24.2,01 Nov 20
NHS Tayside,Health board,242,Quintile 2,205,Deprivation,-15.3,01 Nov 20
NHS Tayside,Health board,277,Quintile 3,225,Deprivation,-18.8,01 Nov 20
NHS Tayside,Health board,351,Quintile 4,265,Deprivation,-24.5,01 Nov 20
NHS Tayside,Health board,218,Quintile 5 - least deprived,184,Deprivation,-15.6,01 Nov 20
NHS Western Isles,Health board,24.5,Quintile 2,20,Deprivation,-18.4,01 Nov 20
NHS Western Isles,Health board,78,Quintile 3,56,Deprivation,-28.2,01 Nov 20
NHS Western Isles,Health board,11,Quintile 4,6,Deprivation,-45.5,01 Nov 20
North Ayrshire,HSC partnership,381.5,Quintile 1 - most deprived,288,Deprivation,-24.5,01 Nov 20
North Ayrshire,HSC partnership,164,Quintile 2,112,Deprivation,-31.7,01 Nov 20
North Ayrshire,HSC partnership,79.5,Quintile 3,54,Deprivation,-32.1,01 Nov 20
North Ayrshire,HSC partnership,91,Quintile 4,55,Deprivation,-39.6,01 Nov 20
North Ayrshire,HSC partnership,45.5,Quintile 5 - least deprived,33,Deprivation,-27.5,01 Nov 20
North Lanarkshire,HSC partnership,901.5,Quintile 1 - most deprived,724,Deprivation,-19.7,01 Nov 20
North Lanarkshire,HSC partnership,672,Quintile 2,471,Deprivation,-29.9,01 Nov 20
North Lanarkshire,HSC partnership,390.5,Quintile 3,277,Deprivation,-29.1,01 Nov 20
North Lanarkshire,HSC partnership,231,Quintile 4,173,Deprivation,-25.1,01 Nov 20
North Lanarkshire,HSC partnership,146,Quintile 5 - least deprived,105,Deprivation,-28.1,01 Nov 20
Orkney Islands,HSC partnership,19.5,Quintile 2,20,Deprivation,2.6,01 Nov 20
Orkney Islands,HSC partnership,33.5,Quintile 3,20,Deprivation,-40.3,01 Nov 20
Orkney Islands,HSC partnership,56,Quintile 4,52,Deprivation,-7.1,01 Nov 20
Orkney Islands,HSC partnership,12,Quintile 5 - least deprived,13,Deprivation,8.3,01 Nov 20
Perth & Kinross,HSC partnership,48,Quintile 1 - most deprived,32,Deprivation,-33.3,01 Nov 20
Perth & Kinross,HSC partnership,77.5,Quintile 2,61,Deprivation,-21.3,01 Nov 20
Perth & Kinross,HSC partnership,101.5,Quintile 3,106,Deprivation,4.4,01 Nov 20
Perth & Kinross,HSC partnership,195.5,Quintile 4,138,Deprivation,-29.4,01 Nov 20
Perth & Kinross,HSC partnership,84,Quintile 5 - least deprived,79,Deprivation,-6,01 Nov 20
Renfrewshire,HSC partnership,409,Quintile 1 - most deprived,305,Deprivation,-25.4,01 Nov 20
Renfrewshire,HSC partnership,222,Quintile 2,152,Deprivation,-31.5,01 Nov 20
Renfrewshire,HSC partnership,201,Quintile 3,116,Deprivation,-42.3,01 Nov 20
Renfrewshire,HSC partnership,163,Quintile 4,93,Deprivation,-42.9,01 Nov 20
Renfrewshire,HSC partnership,144.5,Quintile 5 - least deprived,110,Deprivation,-23.9,01 Nov 20
Scotland,Scotland,7371,Quintile 1 - most deprived,5585,Deprivation,-24.2,01 Nov 20
Scotland,Scotland,5957.5,Quintile 2,4587,Deprivation,-23,01 Nov 20
Scotland,Scotland,4700.5,Quintile 3,3638,Deprivation,-22.6,01 Nov 20
Scotland,Scotland,4226.5,Quintile 4,3065,Deprivation,-27.5,01 Nov 20
Scotland,Scotland,3517.5,Quintile 5 - least deprived,2653,Deprivation,-24.6,01 Nov 20
Scottish Borders,HSC partnership,52,Quintile 1 - most deprived,46,Deprivation,-11.5,01 Nov 20
Scottish Borders,HSC partnership,106,Quintile 2,76,Deprivation,-28.3,01 Nov 20
Scottish Borders,HSC partnership,194.5,Quintile 3,182,Deprivation,-6.4,01 Nov 20
Scottish Borders,HSC partnership,207,Quintile 4,150,Deprivation,-27.5,01 Nov 20
Scottish Borders,HSC partnership,39,Quintile 5 - least deprived,45,Deprivation,15.4,01 Nov 20
Shetland Islands,HSC partnership,6.5,Quintile 2,8,Deprivation,23.1,01 Nov 20
Shetland Islands,HSC partnership,36,Quintile 3,36,Deprivation,0,01 Nov 20
Shetland Islands,HSC partnership,82.5,Quintile 4,53,Deprivation,-35.8,01 Nov 20
South Ayrshire,HSC partnership,168.5,Quintile 1 - most deprived,114,Deprivation,-32.3,01 Nov 20
South Ayrshire,HSC partnership,181.5,Quintile 2,141,Deprivation,-22.3,01 Nov 20
South Ayrshire,HSC partnership,145,Quintile 3,98,Deprivation,-32.4,01 Nov 20
South Ayrshire,HSC partnership,73.5,Quintile 4,45,Deprivation,-38.8,01 Nov 20
South Ayrshire,HSC partnership,114.5,Quintile 5 - least deprived,80,Deprivation,-30.1,01 Nov 20
South Lanarkshire,HSC partnership,470.5,Quintile 1 - most deprived,403,Deprivation,-14.3,01 Nov 20
South Lanarkshire,HSC partnership,563.5,Quintile 2,482,Deprivation,-14.5,01 Nov 20
South Lanarkshire,HSC partnership,368.5,Quintile 3,313,Deprivation,-15.1,01 Nov 20
South Lanarkshire,HSC partnership,333,Quintile 4,237,Deprivation,-28.8,01 Nov 20
South Lanarkshire,HSC partnership,185,Quintile 5 - least deprived,140,Deprivation,-24.3,01 Nov 20
West Dunbartonshire,HSC partnership,179,Quintile 1 - most deprived,119,Deprivation,-33.5,01 Nov 20
West Dunbartonshire,HSC partnership,100,Quintile 2,98,Deprivation,-2,01 Nov 20
West Dunbartonshire,HSC partnership,50.5,Quintile 3,42,Deprivation,-16.8,01 Nov 20
West Dunbartonshire,HSC partnership,40.5,Quintile 4,34,Deprivation,-16,01 Nov 20
West Dunbartonshire,HSC partnership,9,Quintile 5 - least deprived,10,Deprivation,11.1,01 Nov 20
West Lothian,HSC partnership,239.5,Quintile 1 - most deprived,168,Deprivation,-29.9,01 Nov 20
West Lothian,HSC partnership,340.5,Quintile 2,278,Deprivation,-18.4,01 Nov 20
West Lothian,HSC partnership,227,Quintile 3,179,Deprivation,-21.1,01 Nov 20
West Lothian,HSC partnership,163.5,Quintile 4,111,Deprivation,-32.1,01 Nov 20
West Lothian,HSC partnership,123.5,Quintile 5 - least deprived,94,Deprivation,-23.9,01 Nov 20
Western Isles,HSC partnership,25.5,Quintile 2,20,Deprivation,-21.6,01 Nov 20
Western Isles,HSC partnership,81,Quintile 3,57,Deprivation,-29.6,01 Nov 20
Western Isles,HSC partnership,9.5,Quintile 4,6,Deprivation,-36.8,01 Nov 20
Aberdeen City,HSC partnership,110.5,Quintile 1 - most deprived,74,Deprivation,-33,08 Nov 20
Aberdeen City,HSC partnership,244.5,Quintile 2,189,Deprivation,-22.7,08 Nov 20
Aberdeen City,HSC partnership,129,Quintile 3,112,Deprivation,-13.2,08 Nov 20
Aberdeen City,HSC partnership,156.5,Quintile 4,115,Deprivation,-26.5,08 Nov 20
Aberdeen City,HSC partnership,266,Quintile 5 - least deprived,217,Deprivation,-18.4,08 Nov 20
Aberdeenshire,HSC partnership,12,Quintile 1 - most deprived,5,Deprivation,-58.3,08 Nov 20
Aberdeenshire,HSC partnership,36.5,Quintile 2,24,Deprivation,-34.2,08 Nov 20
Aberdeenshire,HSC partnership,89.5,Quintile 3,95,Deprivation,6.1,08 Nov 20
Aberdeenshire,HSC partnership,199,Quintile 4,154,Deprivation,-22.6,08 Nov 20
Aberdeenshire,HSC partnership,197,Quintile 5 - least deprived,166,Deprivation,-15.7,08 Nov 20
Angus,HSC partnership,12,Quintile 1 - most deprived,18,Deprivation,50,08 Nov 20
Angus,HSC partnership,36.5,Quintile 2,30,Deprivation,-17.8,08 Nov 20
Angus,HSC partnership,68.5,Quintile 3,52,Deprivation,-24.1,08 Nov 20
Angus,HSC partnership,61.5,Quintile 4,48,Deprivation,-22,08 Nov 20
Angus,HSC partnership,35.5,Quintile 5 - least deprived,37,Deprivation,4.2,08 Nov 20
Argyll & Bute,HSC partnership,20.5,Quintile 1 - most deprived,24,Deprivation,17.1,08 Nov 20
Argyll & Bute,HSC partnership,46.5,Quintile 2,46,Deprivation,-1.1,08 Nov 20
Argyll & Bute,HSC partnership,98,Quintile 3,71,Deprivation,-27.6,08 Nov 20
Argyll & Bute,HSC partnership,72,Quintile 4,55,Deprivation,-23.6,08 Nov 20
Argyll & Bute,HSC partnership,15.5,Quintile 5 - least deprived,7,Deprivation,-54.8,08 Nov 20
Clackmannanshire & Stirling,HSC partnership,110,Quintile 1 - most deprived,77,Deprivation,-30,08 Nov 20
Clackmannanshire & Stirling,HSC partnership,108,Quintile 2,72,Deprivation,-33.3,08 Nov 20
Clackmannanshire & Stirling,HSC partnership,74.5,Quintile 3,48,Deprivation,-35.6,08 Nov 20
Clackmannanshire & Stirling,HSC partnership,88.5,Quintile 4,55,Deprivation,-37.9,08 Nov 20
Clackmannanshire & Stirling,HSC partnership,73,Quintile 5 - least deprived,42,Deprivation,-42.5,08 Nov 20
Dumfries & Galloway,HSC partnership,121,Quintile 1 - most deprived,93,Deprivation,-23.1,08 Nov 20
Dumfries & Galloway,HSC partnership,273,Quintile 2,262,Deprivation,-4,08 Nov 20
Dumfries & Galloway,HSC partnership,280.5,Quintile 3,233,Deprivation,-16.9,08 Nov 20
Dumfries & Galloway,HSC partnership,103.5,Quintile 4,79,Deprivation,-23.7,08 Nov 20
Dumfries & Galloway,HSC partnership,65,Quintile 5 - least deprived,44,Deprivation,-32.3,08 Nov 20
Dundee City,HSC partnership,259,Quintile 1 - most deprived,212,Deprivation,-18.1,08 Nov 20
Dundee City,HSC partnership,126,Quintile 2,98,Deprivation,-22.2,08 Nov 20
Dundee City,HSC partnership,66.5,Quintile 3,52,Deprivation,-21.8,08 Nov 20
Dundee City,HSC partnership,73,Quintile 4,48,Deprivation,-34.2,08 Nov 20
Dundee City,HSC partnership,56,Quintile 5 - least deprived,43,Deprivation,-23.2,08 Nov 20
East Ayrshire,HSC partnership,308,Quintile 1 - most deprived,204,Deprivation,-33.8,08 Nov 20
East Ayrshire,HSC partnership,210,Quintile 2,132,Deprivation,-37.1,08 Nov 20
East Ayrshire,HSC partnership,120.5,Quintile 3,88,Deprivation,-27,08 Nov 20
East Ayrshire,HSC partnership,76,Quintile 4,68,Deprivation,-10.5,08 Nov 20
East Ayrshire,HSC partnership,59,Quintile 5 - least deprived,36,Deprivation,-39,08 Nov 20
East Dunbartonshire,HSC partnership,31,Quintile 1 - most deprived,26,Deprivation,-16.1,08 Nov 20
East Dunbartonshire,HSC partnership,84.5,Quintile 2,56,Deprivation,-33.7,08 Nov 20
East Dunbartonshire,HSC partnership,28,Quintile 3,25,Deprivation,-10.7,08 Nov 20
East Dunbartonshire,HSC partnership,74.5,Quintile 4,59,Deprivation,-20.8,08 Nov 20
East Dunbartonshire,HSC partnership,178,Quintile 5 - least deprived,121,Deprivation,-32,08 Nov 20
East Lothian,HSC partnership,29,Quintile 1 - most deprived,26,Deprivation,-10.3,08 Nov 20
East Lothian,HSC partnership,159.5,Quintile 2,131,Deprivation,-17.9,08 Nov 20
East Lothian,HSC partnership,97,Quintile 3,98,Deprivation,1,08 Nov 20
East Lothian,HSC partnership,120.5,Quintile 4,90,Deprivation,-25.3,08 Nov 20
East Lothian,HSC partnership,62.5,Quintile 5 - least deprived,60,Deprivation,-4,08 Nov 20
East Renfrewshire,HSC partnership,52,Quintile 1 - most deprived,38,Deprivation,-26.9,08 Nov 20
East Renfrewshire,HSC partnership,57.5,Quintile 2,41,Deprivation,-28.7,08 Nov 20
East Renfrewshire,HSC partnership,53,Quintile 3,28,Deprivation,-47.2,08 Nov 20
East Renfrewshire,HSC partnership,69.5,Quintile 4,35,Deprivation,-49.6,08 Nov 20
East Renfrewshire,HSC partnership,185.5,Quintile 5 - least deprived,123,Deprivation,-33.7,08 Nov 20
Edinburgh,HSC partnership,487,Quintile 1 - most deprived,363,Deprivation,-25.5,08 Nov 20
Edinburgh,HSC partnership,388.5,Quintile 2,296,Deprivation,-23.8,08 Nov 20
Edinburgh,HSC partnership,288,Quintile 3,207,Deprivation,-28.1,08 Nov 20
Edinburgh,HSC partnership,329.5,Quintile 4,246,Deprivation,-25.3,08 Nov 20
Edinburgh,HSC partnership,689.5,Quintile 5 - least deprived,481,Deprivation,-30.2,08 Nov 20
Falkirk,HSC partnership,140,Quintile 1 - most deprived,110,Deprivation,-21.4,08 Nov 20
Falkirk,HSC partnership,263,Quintile 2,167,Deprivation,-36.5,08 Nov 20
Falkirk,HSC partnership,130.5,Quintile 3,77,Deprivation,-41,08 Nov 20
Falkirk,HSC partnership,126,Quintile 4,83,Deprivation,-34.1,08 Nov 20
Falkirk,HSC partnership,100,Quintile 5 - least deprived,52,Deprivation,-48,08 Nov 20
Fife,HSC partnership,450,Quintile 1 - most deprived,344,Deprivation,-23.6,08 Nov 20
Fife,HSC partnership,357.5,Quintile 2,234,Deprivation,-34.5,08 Nov 20
Fife,HSC partnership,287,Quintile 3,244,Deprivation,-15,08 Nov 20
Fife,HSC partnership,180.5,Quintile 4,143,Deprivation,-20.8,08 Nov 20
Fife,HSC partnership,200,Quintile 5 - least deprived,122,Deprivation,-39,08 Nov 20
Glasgow City,HSC partnership,2149,Quintile 1 - most deprived,1456,Deprivation,-32.2,08 Nov 20
Glasgow City,HSC partnership,578,Quintile 2,413,Deprivation,-28.5,08 Nov 20
Glasgow City,HSC partnership,374.5,Quintile 3,246,Deprivation,-34.3,08 Nov 20
Glasgow City,HSC partnership,282,Quintile 4,159,Deprivation,-43.6,08 Nov 20
Glasgow City,HSC partnership,228,Quintile 5 - least deprived,145,Deprivation,-36.4,08 Nov 20
Highland,HSC partnership,110,Quintile 1 - most deprived,85,Deprivation,-22.7,08 Nov 20
Highland,HSC partnership,186,Quintile 2,156,Deprivation,-16.1,08 Nov 20
Highland,HSC partnership,267,Quintile 3,178,Deprivation,-33.3,08 Nov 20
Highland,HSC partnership,265.5,Quintile 4,213,Deprivation,-19.8,08 Nov 20
Highland,HSC partnership,76,Quintile 5 - least deprived,56,Deprivation,-26.3,08 Nov 20
Inverclyde,HSC partnership,320.5,Quintile 1 - most deprived,237,Deprivation,-26.1,08 Nov 20
Inverclyde,HSC partnership,81.5,Quintile 2,61,Deprivation,-25.2,08 Nov 20
Inverclyde,HSC partnership,83,Quintile 3,49,Deprivation,-41,08 Nov 20
Inverclyde,HSC partnership,85.5,Quintile 4,52,Deprivation,-39.2,08 Nov 20
Inverclyde,HSC partnership,52,Quintile 5 - least deprived,40,Deprivation,-23.1,08 Nov 20
Midlothian,HSC partnership,69.5,Quintile 1 - most deprived,66,Deprivation,-5,08 Nov 20
Midlothian,HSC partnership,252.5,Quintile 2,188,Deprivation,-25.5,08 Nov 20
Midlothian,HSC partnership,126,Quintile 3,95,Deprivation,-24.6,08 Nov 20
Midlothian,HSC partnership,68,Quintile 4,64,Deprivation,-5.9,08 Nov 20
Midlothian,HSC partnership,45,Quintile 5 - least deprived,39,Deprivation,-13.3,08 Nov 20
Moray,HSC partnership,97,Quintile 2,75,Deprivation,-22.7,08 Nov 20
Moray,HSC partnership,150.5,Quintile 3,105,Deprivation,-30.2,08 Nov 20
Moray,HSC partnership,152.5,Quintile 4,117,Deprivation,-23.3,08 Nov 20
Moray,HSC partnership,73,Quintile 5 - least deprived,57,Deprivation,-21.9,08 Nov 20
NHS Ayrshire & Arran,Health board,853,Quintile 1 - most deprived,547,Deprivation,-35.9,08 Nov 20
NHS Ayrshire & Arran,Health board,536.5,Quintile 2,364,Deprivation,-32.2,08 Nov 20
NHS Ayrshire & Arran,Health board,331,Quintile 3,212,Deprivation,-36,08 Nov 20
NHS Ayrshire & Arran,Health board,238.5,Quintile 4,153,Deprivation,-35.8,08 Nov 20
NHS Ayrshire & Arran,Health board,192.5,Quintile 5 - least deprived,121,Deprivation,-37.1,08 Nov 20
NHS Borders,Health board,55.5,Quintile 1 - most deprived,44,Deprivation,-20.7,08 Nov 20
NHS Borders,Health board,101.5,Quintile 2,84,Deprivation,-17.2,08 Nov 20
NHS Borders,Health board,177,Quintile 3,175,Deprivation,-1.1,08 Nov 20
NHS Borders,Health board,189.5,Quintile 4,151,Deprivation,-20.3,08 Nov 20
NHS Borders,Health board,52.5,Quintile 5 - least deprived,44,Deprivation,-16.2,08 Nov 20
NHS Dumfries & Galloway,Health board,124,Quintile 1 - most deprived,94,Deprivation,-24.2,08 Nov 20
NHS Dumfries & Galloway,Health board,274,Quintile 2,268,Deprivation,-2.2,08 Nov 20
NHS Dumfries & Galloway,Health board,278,Quintile 3,231,Deprivation,-16.9,08 Nov 20
NHS Dumfries & Galloway,Health board,104.5,Quintile 4,82,Deprivation,-21.5,08 Nov 20
NHS Dumfries & Galloway,Health board,70.5,Quintile 5 - least deprived,43,Deprivation,-39,08 Nov 20
NHS Fife,Health board,437,Quintile 1 - most deprived,339,Deprivation,-22.4,08 Nov 20
NHS Fife,Health board,353,Quintile 2,224,Deprivation,-36.5,08 Nov 20
NHS Fife,Health board,247.5,Quintile 3,217,Deprivation,-12.3,08 Nov 20
NHS Fife,Health board,141,Quintile 4,111,Deprivation,-21.3,08 Nov 20
NHS Fife,Health board,164,Quintile 5 - least deprived,102,Deprivation,-37.8,08 Nov 20
NHS Forth Valley,Health board,254,Quintile 1 - most deprived,188,Deprivation,-26,08 Nov 20
NHS Forth Valley,Health board,379.5,Quintile 2,239,Deprivation,-37,08 Nov 20
NHS Forth Valley,Health board,215,Quintile 3,130,Deprivation,-39.5,08 Nov 20
NHS Forth Valley,Health board,216.5,Quintile 4,140,Deprivation,-35.3,08 Nov 20
NHS Forth Valley,Health board,179.5,Quintile 5 - least deprived,95,Deprivation,-47.1,08 Nov 20
NHS Grampian,Health board,135,Quintile 1 - most deprived,84,Deprivation,-37.8,08 Nov 20
NHS Grampian,Health board,377,Quintile 2,288,Deprivation,-23.6,08 Nov 20
NHS Grampian,Health board,371.5,Quintile 3,310,Deprivation,-16.6,08 Nov 20
NHS Grampian,Health board,501.5,Quintile 4,390,Deprivation,-22.2,08 Nov 20
NHS Grampian,Health board,527.5,Quintile 5 - least deprived,438,Deprivation,-17,08 Nov 20
NHS Greater Glasgow & Clyde,Health board,3332.5,Quintile 1 - most deprived,2283,Deprivation,-31.5,08 Nov 20
NHS Greater Glasgow & Clyde,Health board,1275,Quintile 2,892,Deprivation,-30,08 Nov 20
NHS Greater Glasgow & Clyde,Health board,935,Quintile 3,609,Deprivation,-34.9,08 Nov 20
NHS Greater Glasgow & Clyde,Health board,852,Quintile 4,541,Deprivation,-36.5,08 Nov 20
NHS Greater Glasgow & Clyde,Health board,831,Quintile 5 - least deprived,584,Deprivation,-29.7,08 Nov 20
NHS Highland,Health board,122.5,Quintile 1 - most deprived,106,Deprivation,-13.5,08 Nov 20
NHS Highland,Health board,217.5,Quintile 2,196,Deprivation,-9.9,08 Nov 20
NHS Highland,Health board,329,Quintile 3,236,Deprivation,-28.3,08 Nov 20
NHS Highland,Health board,308.5,Quintile 4,251,Deprivation,-18.6,08 Nov 20
NHS Highland,Health board,83.5,Quintile 5 - least deprived,62,Deprivation,-25.7,08 Nov 20
NHS Lanarkshire,Health board,1282,Quintile 1 - most deprived,1013,Deprivation,-21,08 Nov 20
NHS Lanarkshire,Health board,1184,Quintile 2,919,Deprivation,-22.4,08 Nov 20
NHS Lanarkshire,Health board,724,Quintile 3,562,Deprivation,-22.4,08 Nov 20
NHS Lanarkshire,Health board,536.5,Quintile 4,343,Deprivation,-36.1,08 Nov 20
NHS Lanarkshire,Health board,338.5,Quintile 5 - least deprived,240,Deprivation,-29.1,08 Nov 20
NHS Lothian,Health board,854,Quintile 1 - most deprived,646,Deprivation,-24.4,08 Nov 20
NHS Lothian,Health board,1166,Quintile 2,881,Deprivation,-24.4,08 Nov 20
NHS Lothian,Health board,788.5,Quintile 3,572,Deprivation,-27.5,08 Nov 20
NHS Lothian,Health board,731,Quintile 4,534,Deprivation,-26.9,08 Nov 20
NHS Lothian,Health board,924.5,Quintile 5 - least deprived,674,Deprivation,-27.1,08 Nov 20
NHS Orkney,Health board,18,Quintile 2,13,Deprivation,-27.8,08 Nov 20
NHS Orkney,Health board,33,Quintile 3,28,Deprivation,-15.2,08 Nov 20
NHS Orkney,Health board,61,Quintile 4,43,Deprivation,-29.5,08 Nov 20
NHS Orkney,Health board,11.5,Quintile 5 - least deprived,10,Deprivation,-13,08 Nov 20
NHS Shetland,Health board,42,Quintile 3,29,Deprivation,-31,08 Nov 20
NHS Shetland,Health board,90,Quintile 4,59,Deprivation,-34.4,08 Nov 20
NHS Tayside,Health board,333,Quintile 1 - most deprived,270,Deprivation,-18.9,08 Nov 20
NHS Tayside,Health board,254,Quintile 2,194,Deprivation,-23.6,08 Nov 20
NHS Tayside,Health board,294.5,Quintile 3,218,Deprivation,-26,08 Nov 20
NHS Tayside,Health board,334.5,Quintile 4,289,Deprivation,-13.6,08 Nov 20
NHS Tayside,Health board,218,Quintile 5 - least deprived,158,Deprivation,-27.5,08 Nov 20
NHS Western Isles,Health board,33,Quintile 2,15,Deprivation,-54.5,08 Nov 20
NHS Western Isles,Health board,66.5,Quintile 3,52,Deprivation,-21.8,08 Nov 20
NHS Western Isles,Health board,7,Quintile 4,8,Deprivation,14.3,08 Nov 20
North Ayrshire,HSC partnership,403.5,Quintile 1 - most deprived,253,Deprivation,-37.3,08 Nov 20
North Ayrshire,HSC partnership,159,Quintile 2,116,Deprivation,-27,08 Nov 20
North Ayrshire,HSC partnership,85.5,Quintile 3,67,Deprivation,-21.6,08 Nov 20
North Ayrshire,HSC partnership,97,Quintile 4,54,Deprivation,-44.3,08 Nov 20
North Ayrshire,HSC partnership,50.5,Quintile 5 - least deprived,34,Deprivation,-32.7,08 Nov 20
North Lanarkshire,HSC partnership,913.5,Quintile 1 - most deprived,722,Deprivation,-21,08 Nov 20
North Lanarkshire,HSC partnership,717,Quintile 2,510,Deprivation,-28.9,08 Nov 20
North Lanarkshire,HSC partnership,390,Quintile 3,334,Deprivation,-14.4,08 Nov 20
North Lanarkshire,HSC partnership,242,Quintile 4,170,Deprivation,-29.8,08 Nov 20
North Lanarkshire,HSC partnership,137.5,Quintile 5 - least deprived,79,Deprivation,-42.5,08 Nov 20
Orkney Islands,HSC partnership,17.5,Quintile 2,13,Deprivation,-25.7,08 Nov 20
Orkney Islands,HSC partnership,32,Quintile 3,29,Deprivation,-9.4,08 Nov 20
Orkney Islands,HSC partnership,57.5,Quintile 4,43,Deprivation,-25.2,08 Nov 20
Orkney Islands,HSC partnership,10.5,Quintile 5 - least deprived,10,Deprivation,-4.8,08 Nov 20
Perth & Kinross,HSC partnership,52,Quintile 1 - most deprived,35,Deprivation,-32.7,08 Nov 20
Perth & Kinross,HSC partnership,88.5,Quintile 2,61,Deprivation,-31.1,08 Nov 20
Perth & Kinross,HSC partnership,129,Quintile 3,95,Deprivation,-26.4,08 Nov 20
Perth & Kinross,HSC partnership,174.5,Quintile 4,165,Deprivation,-5.4,08 Nov 20
